ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,PotentialDailyProfit
Plagioclase,Metropolis,Jita,48,56.99,8.990002,15.7747,4087201,19404418,3.674394E+07
Spodumain,Metropolis,Jita,1309.98,2500.01,1190.03,47.60101,208,465,247526.3
Kernite,Metropolis,Jita,378.95,243.86,135.09,35.64851,533673,1721792,7.209389E+07
Hedbergite,Metropolis,Jita,142.01,251.08,109.07,43.44034,61,6524,6653.271
Arkonor,Metropolis,Jita,3500,2850,650,18.57143,1846,2478,1199900
Tritanium,Metropolis,Jita,4.8,4.54,0.2600002,5.416671,335344377,10784073107,8.718962E+07
Pyerite,Metropolis,Jita,2.73,3.85,1.12,29.09091,26336844,2936911326,2.949726E+07
Mexallon,Metropolis,Jita,57.5,60.43,2.93,4.848586,75810481,971784313,2.221247E+08
Isogen,Metropolis,Jita,14.99,18.05,3.059999,16.95291,2389449,391751944,7311713
Nocxium,Metropolis,Jita,289.89,294.81,4.919983,1.668866,472608,81244735,2325223
Zydrine,Metropolis,Jita,485,507.99,22.98999,4.525678,133824,30830379,3076613
Megacyte,Metropolis,Jita,445.42,512.28,66.86002,13.05146,126687,17802729,8470295
Garbage,Metropolis,Jita,14.05,21.81,7.759999,35.58001,805630,8291,6251688
Spiced Wine,Metropolis,Jita,454.45,1800,1345.55,74.75278,20,10095,26911
Antibiotics,Metropolis,Jita,309.7,305.66,4.040009,1.304491,16595,610848,67043.95
Enriched Uranium,Metropolis,Jita,14004.01,14711.3,707.29,4.807801,49162,353092,3.477179E+07
Frozen Plant Seeds,Metropolis,Jita,1.16,50,48.84,97.68,20,563,976.8
Carbonized Lead S,Metropolis,Jita,4.25,1.76,2.49,58.58823,15690,134508,39068.1
Nuclear S,Metropolis,Jita,2,2.35,0.3499999,14.89361,4316,59511,1510.6
Proton S,Metropolis,Jita,2,10.19,8.19,80.37292,51976,79220,425683.4
Depleted Uranium S,Metropolis,Jita,8,5.76,2.24,28,135033,232752,302473.9
Titanium Sabot S,Metropolis,Jita,7.96,7,0.96,12.0603,71333,188489,68479.68
Fusion S,Metropolis,Jita,10.16,14.94,4.78,31.99464,59702,262004,285375.5
Phased Plasma S,Metropolis,Jita,25,27,2,7.407407,132277,286501,264554
EMP S,Metropolis,Jita,20,15.79,4.21,21.05,234111,3157389,985607.3
Carbonized Lead M,Metropolis,Jita,2.51,8.67,6.16,71.04959,319,36918,1965.04
Nuclear M,Metropolis,Jita,18,4.2,13.8,76.66666,100142,7118,1381960
Proton M,Metropolis,Jita,25,13.44,11.56,46.24,249500,107499,2884220
Depleted Uranium M,Metropolis,Jita,38.5,78.98,40.48,51.25348,41300,76061,1671824
Titanium Sabot M,Metropolis,Jita,30.72,69.11,38.39,55.54912,16000,83179,614240
Fusion M,Metropolis,Jita,39.49,77.83,38.34,49.26121,91470,193302,3506960
Phased Plasma M,Metropolis,Jita,92.93,91.88,1.050003,1.129886,98300,483678,103215.3
EMP M,Metropolis,Jita,50,58.09,8.09,13.92667,98741,774057,798814.7
Carbonized Lead L,Metropolis,Jita,15,2.72,12.28,81.86667,2200,106309,27016
Nuclear L,Metropolis,Jita,10.07,20.08,10.01,49.8506,10302,10680,103123
Proton L,Metropolis,Jita,15.01,39.86,24.85,62.3432,185,38700,4597.25
Depleted Uranium L,Metropolis,Jita,14.1,25,10.9,43.6,200,142891,2180
Titanium Sabot L,Metropolis,Jita,55,64.61,9.610001,14.87386,9080,491220,87258.8
Fusion L,Metropolis,Jita,179.99,105.01,74.98,41.65787,58900,293498,4416322
Phased Plasma L,Metropolis,Jita,42.35,139.99,97.64001,69.74784,8904,77789,869386.6
EMP L,Metropolis,Jita,94.31,140,45.69,32.63572,8240,203056,376485.6
Mjolnir Cruise Missile,Metropolis,Jita,100,204.96,104.96,51.21,10500,1104317,1102080
Scourge Cruise Missile,Metropolis,Jita,194.92,137.32,57.59999,29.55058,53089,1111349,3057926
Inferno Cruise Missile,Metropolis,Jita,180,141.97,38.03,21.12778,66845,1216298,2542115
Nova Cruise Missile,Metropolis,Jita,76.65,99.99,23.34,23.34233,11270,195035,263041.8
Nova Heavy Missile,Metropolis,Jita,17.14,24.66,7.52,30.49473,42192,295258,317283.8
Mjolnir Heavy Missile,Metropolis,Jita,44.99,33,11.99,26.65037,22526,374624,270086.8
Inferno Heavy Missile,Metropolis,Jita,39.99,49.51,9.519997,19.22843,33984,388408,323527.6
Scourge Heavy Missile,Metropolis,Jita,59.59,48.36,11.23,18.84544,235967,1253282,2649909
Scourge Light Missile,Metropolis,Jita,8.43,7.01,1.42,16.8446,17193,6815413,24414.06
Inferno Light Missile,Metropolis,Jita,12.98,8.3,4.679999,36.05547,44349,4908199,207553.3
Mjolnir Light Missile,Metropolis,Jita,16.25,24.8,8.549999,34.4758,20249,5535221,173128.9
Nova Light Missile,Metropolis,Jita,15,10.88,4.12,27.46667,34576,4532480,142453.1
Iron Charge S,Metropolis,Jita,3.92,2.36,1.56,39.79592,5741,1778906,8955.961
Tungsten Charge S,Metropolis,Jita,6,4.25,1.75,29.16667,200,1604779,350
Iridium Charge S,Metropolis,Jita,6.99,6.54,0.4499998,6.437766,601,1015072,270.4499
Lead Charge S,Metropolis,Jita,3.5,2.61,0.8900001,25.42857,4200,215757,3738
Thorium Charge S,Metropolis,Jita,10,19.87,9.870001,49.67287,286100,854436,2823807
Uranium Charge S,Metropolis,Jita,10,7,3,30,1100,259141,3300
Plutonium Charge S,Metropolis,Jita,1.15,10.25,9.1,88.78049,200,286339,1820
Antimatter Charge S,Metropolis,Jita,16.93,16.98,0.04999924,0.2944596,145278,7273493,7263.789
Iron Charge M,Metropolis,Jita,9.99,16.29,6.300001,38.67404,2000,520049,12600
Tungsten Charge M,Metropolis,Jita,34.99,38.32,3.329998,8.689974,1000,47631,3329.998
Iridium Charge M,Metropolis,Jita,20,49.85,29.85,59.87964,50567,841505,1509425
Lead Charge M,Metropolis,Jita,127,29.6,97.4,76.69292,1202,1832676,117074.8
Thorium Charge M,Metropolis,Jita,40,47.91,7.91,16.51012,2000,1107208,15820
Uranium Charge M,Metropolis,Jita,190,26,164,86.31579,1132,70569,185648
Plutonium Charge M,Metropolis,Jita,2,28.5,26.5,92.98245,78,136231,2067
Antimatter Charge M,Metropolis,Jita,54.89,49,5.889999,10.73055,16049,1742890,94528.6
Iron Charge L,Metropolis,Jita,27.99,6,21.99,78.56377,15400,135071,338646
Tungsten Charge L,Metropolis,Jita,50,64.93,14.93,22.99399,10000,302690,149300
Iridium Charge L,Metropolis,Jita,5,23.92,18.92,79.09699,200,61300,3784
Lead Charge L,Metropolis,Jita,4.09,19.11,15.02,78.5976,174,51731,2613.48
Thorium Charge L,Metropolis,Jita,149.87,60.9,88.96999,59.36478,10000,36723,889699.9
Uranium Charge L,Metropolis,Jita,179.98,50.45,129.53,71.96911,10100,15990,1308253
Plutonium Charge L,Metropolis,Jita,51.25,42.12,9.130001,17.81464,200,16990,1826
Antimatter Charge L,Metropolis,Jita,138.99,140.94,1.949997,1.383565,15000,819956,29249.96
Radio S,Metropolis,Jita,963.24,507.27,455.97,47.33711,27,226,12311.19
Microwave S,Metropolis,Jita,1.11,1395.69,1394.58,99.92047,8,264,11156.64
Infrared S,Metropolis,Jita,1.01,110.33,109.32,99.08456,3,234,327.96
Standard S,Metropolis,Jita,10.15,1480,1469.85,99.31419,1,540,1469.85
Ultraviolet S,Metropolis,Jita,0.99,499.84,498.85,99.80194,2,402,997.7
Xray S,Metropolis,Jita,857.39,1923.5,1066.11,55.42553,21,265,22388.31
Gamma S,Metropolis,Jita,2750,507.09,2242.91,81.56036,2,146,4485.82
Multifrequency S,Metropolis,Jita,5833.5,1999,3834.5,65.73241,18,1800,69021
Radio M,Metropolis,Jita,9871.43,79998.9,70127.47,87.66055,7,244,490892.3
Microwave M,Metropolis,Jita,4687.88,3499.99,1187.89,25.3396,8,1441,9503.119
Infrared M,Metropolis,Jita,10.03,282.86,272.83,96.45408,1,151,272.83
Standard M,Metropolis,Jita,5.04,2899.97,2894.93,99.8262,6,6651,17369.58
Ultraviolet M,Metropolis,Jita,10000,380.5,9619.5,96.195,6,139,57717
Xray M,Metropolis,Jita,7.5,3769.76,3762.26,99.80105,1,1602,3762.26
Gamma M,Metropolis,Jita,277.36,751.07,473.71,63.07135,1,179,473.71
Multifrequency M,Metropolis,Jita,2500,5520.64,3020.64,54.7154,1,3184,3020.64
Radio L,Metropolis,Jita,130423.7,16099.87,114323.8,87.65572,6,1349,685942.8
Microwave L,Metropolis,Jita,126833.4,10000.4,116833,92.11533,6,130,700997.8
Infrared L,Metropolis,Jita,500,5002.64,4502.64,90.00528,1,150,4502.64
Standard L,Metropolis,Jita,112833.3,11004.99,101828.3,90.24668,6,1647,610969.8
Ultraviolet L,Metropolis,Jita,2000.1,11300,9299.9,82.3,2,303,18599.8
Xray L,Metropolis,Jita,2500.73,9040.5,6539.77,72.33858,3,162,19619.31
Gamma L,Metropolis,Jita,500.01,12604.51,12104.5,96.03309,4,161,48418
Multifrequency L,Metropolis,Jita,320000,12000.2,307999.8,96.24994,4,265,1231999
Cap Booster 25,Metropolis,Jita,340.98,170.92,170.06,49.87389,110,15436,18706.6
Cap Booster 50,Metropolis,Jita,540,364.99,175.01,32.40926,74,1097,12950.74
Scourge Rocket,Metropolis,Jita,4.95,4.73,0.2199998,4.44444,2645,647613,581.8995
Scourge Torpedo,Metropolis,Jita,1,180,179,99.44444,7175,708631,1284325
Mjolnir Auto-Targeting Light Missile I,Metropolis,Jita,1,17.25,16.25,94.2029,183,110192,2973.75
Small Shield Extender I,Metropolis,Jita,23949.19,8101.31,15847.88,66.17292,25,1195,396197
Small Shield Extender II,Metropolis,Jita,441435.2,387995,53440.22,12.10602,21,1616,1122245
Shield Recharger I,Metropolis,Jita,136699.8,8954.04,127745.8,93.44985,30,20,3832373
Shield Recharger II,Metropolis,Jita,3.754512E+07,217899.5,3.732722E+07,99.41963,8,135,2.986178E+08
Small Shield Booster I,Metropolis,Jita,13833.33,10742.09,3091.24,22.34632,3,77,9273.721
Small Shield Booster II,Metropolis,Jita,365023.6,349963,15060.63,4.125932,75,165,1129547
'Basic' Capacitor Recharger,Metropolis,Jita,1.7999E+07,403456.3,1.759554E+07,97.75845,1,8,1.759554E+07
5MN Microwarpdrive I,Metropolis,Jita,39325.97,38999.96,326.0078,0.8289886,25,1910,8150.195
1MN Afterburner II,Metropolis,Jita,3488412,2724995,763416.8,21.88437,31,616,2.366592E+07
1MN Afterburner I,Metropolis,Jita,18778.94,7292.84,11486.1,61.16479,41,379,470930.1
5MN Microwarpdrive II,Metropolis,Jita,4044777,4010856,33920.75,0.8386309,18,796,610573.5
Cargo Scanner I,Metropolis,Jita,72390.38,5499.92,66890.46,92.40241,18,600,1204028
Ship Scanner I,Metropolis,Jita,140000,5350.49,134649.5,96.17822,1,8,134649.5
Survey Scanner I,Metropolis,Jita,15539.04,7994.69,7544.35,48.55094,13,571,98076.55
Warp Scrambler I,Metropolis,Jita,19989.8,36809.26,16819.46,45.69356,5,3753,84097.3
Warp Scrambler II,Metropolis,Jita,1759964,1545800,214163.9,12.16865,33,1996,7067408
Gatling Pulse Laser I,Metropolis,Jita,19000,9409.61,9590.39,50.47573,2,39,19180.78
Dual Light Pulse Laser I,Metropolis,Jita,33333.33,36955.87,3622.543,9.802348,3,87,10867.63
Dual Light Beam Laser I,Metropolis,Jita,21000.02,14908.97,6091.05,29.00497,1,227,6091.05
Small Focused Pulse Laser I,Metropolis,Jita,24999,2500.07,22498.93,89.99932,3,316,67496.79
Small Focused Beam Laser I,Metropolis,Jita,177,5000.25,4823.25,96.46017,1,1482,4823.25
Quad Light Beam Laser I,Metropolis,Jita,89999.99,36316.85,53683.14,59.64794,5,7,268415.7
Focused Medium Pulse Laser I,Metropolis,Jita,189500,145900,43600.03,23.00793,6,186,261600.2
Focused Medium Beam Laser I,Metropolis,Jita,733750,222816.2,510933.8,69.63323,4,49,2043735
Heavy Pulse Laser I,Metropolis,Jita,450000,117100,332900,73.97778,4,20,1331600
Heavy Beam Laser I,Metropolis,Jita,587999,161953.1,426045.9,72.45692,1,11,426045.9
Dual Heavy Pulse Laser I,Metropolis,Jita,1,125015,125014,99.9992,2,20,250028
Dual Heavy Beam Laser I,Metropolis,Jita,1200000,858331.3,341668.7,28.47239,1,24,341668.7
Mega Pulse Laser I,Metropolis,Jita,25001,1090999,1065998,97.70843,6,27,6395987
Mega Beam Laser I,Metropolis,Jita,500000,551024,51024,9.259851,74,16,3775776
Tachyon Beam Laser I,Metropolis,Jita,24000,1529024,1505024,98.43037,1,137,1505024
Miner II,Metropolis,Jita,1012035,645775,366260.3,36.19047,28,465,1.025529E+07
Miner I,Metropolis,Jita,13195.91,8000,5195.91,39.37516,10,250,51959.1
125mm Gatling AutoCannon I,Metropolis,Jita,5448.64,3798.9,1649.74,30.27802,30,468,49492.21
150mm Light AutoCannon I,Metropolis,Jita,7499.85,38897.97,31398.12,80.71918,1,2166,31398.12
200mm AutoCannon I,Metropolis,Jita,16229.78,15299.68,930.1006,5.730827,24,947,22322.41
250mm Light Artillery Cannon I,Metropolis,Jita,23451.18,8741.6,14709.58,62.72427,13,56,191224.5
280mm Howitzer Artillery I,Metropolis,Jita,43453.99,29999.99,13454,30.96148,12,330,161448
Dual 180mm AutoCannon I,Metropolis,Jita,38749.91,12000,26749.91,69.03219,19,3,508248.3
220mm Vulcan AutoCannon I,Metropolis,Jita,125000,118031.9,6968.109,5.574488,86,45,599257.4
425mm AutoCannon I,Metropolis,Jita,70000,12500.5,57499.5,82.14214,10,4,574995
650mm Artillery Cannon I,Metropolis,Jita,246417.5,209050.1,37367.42,15.16427,8,17,298939.4
720mm Howitzer Artillery I,Metropolis,Jita,274995,497999,223004,44.78001,4,262,892016.1
Dual 425mm AutoCannon I,Metropolis,Jita,247000,253999,6999,2.755523,4,3,27996
Dual 650mm Repeating Cannon I,Metropolis,Jita,880000,150000,730000,82.95454,3,6,2190000
800mm Repeating Cannon I,Metropolis,Jita,1250000,1200000,50000,4,8,77,400000
1200mm Artillery Cannon I,Metropolis,Jita,1200000,654544.8,545455.2,45.4546,4,11,2181821
1400mm Howitzer Artillery I,Metropolis,Jita,2250000,1411764,838235.6,37.25492,2,17,1676471
Light Missile Launcher I,Metropolis,Jita,9765.24,9600,165.2402,1.692127,39,1407,6444.369
Heavy Missile Launcher I,Metropolis,Jita,42000,30018.51,11981.49,28.52736,2,99,23962.98
Torpedo Launcher I,Metropolis,Jita,74994.97,29615.02,45379.95,60.51066,3,26,136139.8
'Basic' Capacitor Power Relay,Metropolis,Jita,11000.07,2297950,2286950,99.52131,1,116,2286950
'Basic' Shield Flux Coil,Metropolis,Jita,1.4999E+07,1548152,1.345085E+07,89.6783,1,3,1.345085E+07
'Basic' Capacitor Flux Coil,Metropolis,Jita,1.1E+07,2623529,8376471,76.14973,2,7,1.675294E+07
'Basic' Gyrostabilizer,Metropolis,Jita,1.479E+07,3973990,1.081601E+07,73.13056,1,1,1.081601E+07
Gyrostabilizer II,Metropolis,Jita,888423.4,921999.9,33576.5,3.641703,69,2345,2316779
Gyrostabilizer I,Metropolis,Jita,51232.9,33498.34,17734.56,34.61557,12,60,212814.7
'Basic' Damage Control,Metropolis,Jita,1.3833E+07,3999000,9834000,71.09087,1,1,9834000
'Micro' Cap Battery,Metropolis,Jita,2E+07,4999473,1.500053E+07,75.00263,1,3,1.500053E+07
Small Armor Repairer I,Metropolis,Jita,23000,10954.99,12045.01,52.36961,2,1497,24090.02
Small Hull Repairer I,Metropolis,Jita,30000.01,151384.5,121384.5,80.18291,1,5,121384.5
Stasis Webifier I,Metropolis,Jita,45360,50999.92,5639.922,11.05869,11,2387,62039.14
Stasis Webifier II,Metropolis,Jita,1129859,1003996,125862.8,11.13969,23,1227,2894843
Small Remote Capacitor Transmitter I,Metropolis,Jita,60000,9020.24,50979.76,84.96626,1,5,50979.76
Small Energy Nosferatu I,Metropolis,Jita,34998.93,20934.52,14064.41,40.18526,2,61,28128.82
Small Energy Neutralizer I,Metropolis,Jita,49999.99,10386.52,39613.47,79.22696,15,52,594202
75mm Gatling Rail I,Metropolis,Jita,100,2499.37,2399.37,95.99899,2,158,4798.74
Light Electron Blaster I,Metropolis,Jita,9999.99,3207.94,6792.05,67.92057,39,215,264890
Light Ion Blaster I,Metropolis,Jita,20000,24806.95,4806.949,19.37743,746,3368,3585984
Light Neutron Blaster I,Metropolis,Jita,24742.62,34999.95,10257.33,29.3067,13,1699,133345.3
150mm Railgun I,Metropolis,Jita,17690,35998.99,18308.99,50.85973,32,1413,585887.6
Heavy Electron Blaster I,Metropolis,Jita,35000,54425.44,19425.44,35.69184,6,18,116552.6
Dual 150mm Railgun I,Metropolis,Jita,27409.09,20441.95,6967.141,25.41909,11,31,76638.55
Heavy Neutron Blaster I,Metropolis,Jita,259147.1,140502.4,118644.7,45.78276,6,30,711868.1
Heavy Ion Blaster I,Metropolis,Jita,299997.8,114215.1,185782.7,61.92802,5,26,928913.4
250mm Railgun I,Metropolis,Jita,250,449894.2,449644.2,99.94444,2,485,899288.4
