ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory,,
Offensive Content Reports, Jan. YC120, vol. I,0.00,"1,250,000,000.00","-1,250,000,000.00", -Infinity,0.00,0,0
Caldari Navy Vice Admiral Insignia I,"5,621,262,000.00","7,400,000.00","5,613,862,000.00",99.87,20.00,"112,277,200,000.00",0.00,,
Ragnarok Blueprint,"67,500,000,000.00",0.00,"67,500,000,000.00",100.00,1.00,"67,500,000,000.00",0.00,,
Hel Blueprint,"19,000,000,000.00",0.00,"19,000,000,000.00",100.00,1.00,"19,000,000,000.00",0.00,,
1000 Aurum Token,"7,980,106,000.00","315,000,000.00","7,665,106,000.00",96.05,1.00,"7,665,106,000.00",0.00,,
Sotiyo,"25,900,000,000.00","20,600,000,000.00","5,299,999,000.00",20.46,1.00,"5,299,999,000.00",0.00,,
Auto Targeting System II,"780,000,000.00","979,999.90","779,020,000.00",99.87,5.00,"3,895,100,000.00",11.11,,
Fortizar,"11,668,000,000.00","8,194,000,000.00","3,474,000,000.00",29.77,1.00,"3,474,000,000.00",0.00,,
Sleeper Drone AI Nexus,"6,349,997.00","4,964,950.00","1,385,047.00",21.81,"2,287.00","3,167,602,000.00",0.00,,
Ark,"11,500,000,000.00","9,252,000,000.00","2,248,001,000.00",19.55,1.00,"2,248,001,000.00",0.00,,
'Excavator' Mining Drone,"1,200,000,000.00","580,000,000.00","620,000,000.00",51.67,3.00,"1,860,000,000.00",27.78,,
Women's 'Gunner' Jacket (ORE),"800,000,000.00","219,000,000.00","581,000,000.00",72.63,3.00,"1,743,000,000.00",0.00,,
Large Skill Injector,"988,989,000.00","964,990,700.00","23,998,270.00",2.43,61.00,"1,463,895,000.00",35.71,,
Capital Nuclear Reactor Unit,"1,850,001.00",0.00,"1,850,001.00",100.00,740.00,"1,369,001,000.00",0.00,,
Anshar,"10,000,000,000.00","8,644,444,000.00","1,355,556,000.00",13.56,1.00,"1,355,556,000.00",0.00,,
Chromodynamic Tricarboxyls,"1,500,000.00","999,999.50","500,000.50",33.33,"2,581.00","1,290,501,000.00",21.94,,
'Excavator' Ice Harvesting Drone,"1,290,000,000.00","667,788,000.00","622,212,000.00",48.23,2.00,"1,244,424,000.00",10.00,,
Nomad,"10,480,470,000.00","9,253,000,000.00","1,227,471,000.00",11.71,1.00,"1,227,471,000.00",0.00,,
R.Db - Thukker Mix,"900,000.00",998.97,"899,001.00",99.89,"1,240.00","1,114,761,000.00",0.00,,
Rhea,"10,000,000,000.00","9,044,444,000.00","955,555,800.00",9.56,1.00,"955,555,800.00",0.00,,
Marshal,"5,999,809,000.00","5,190,667,000.00","809,142,300.00",13.49,1.00,"809,142,300.00",0.00,,
Standup M-Set Moon Drilling Efficiency II,"2,300,000,000.00","1,541,317,000.00","758,683,000.00",32.99,1.00,"758,683,000.00",0.00,,
High-grade Asklepian Omega,"2,000,000,000.00","1,317,828,000.00","682,172,200.00",34.11,1.00,"682,172,200.00",33.33,,
Quad Mega Pulse Laser II,"425,000,000.00","199,840,200.00","225,159,800.00",52.98,3.00,"675,479,400.00",0.00,,
Capital Drone Bay Blueprint,"1,599,000,000.00","950,000,000.00","648,999,900.00",40.59,1.00,"648,999,900.00",0.00,,
Cthonic Attar,"60,000.00","40,992.85","19,007.15",31.68,"33,956.00","645,406,700.00",0.00,,
Gistum A-Type Adaptive Invulnerability Field,"1,350,000,000.00","719,999,700.00","630,000,300.00",46.67,1.00,"630,000,300.00",0.00,,
Standup Capital Shipyard I Blueprint,"4,000,000,000.00","3,400,000,000.00","600,000,000.00",15.00,1.00,"600,000,000.00",0.00,,
