ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory
Plagioclase,48,54,-6, -12.5,6976184, -41857100, 1.1617629093417714848288136400
Spodumain,2999,3000,-1, -0.03334445,1183, -1183, 99.08256880733944954128440367
Kernite,210,195,15, 7.142857,402598, 6038970, 34.325407428967416724341327400
Hedbergite,350,250,100, 28.57143,2814, 281400, 0
Arkonor,3500,3500,0, 0,1349, 0, 0
Tritanium,4,4.5,-0.5, -12.5,349926190, -174963100, 9.107462695522480131298451050
Pyerite,3,3.73,-0.73, -24.33333,122570865, -89476740, 4.9110128439234455397109547400
Mexallon,52.5,59.9,-7.400002, -14.09524,33060058, -244644500, 23.007569538520039632877831530
Isogen,16,16.36,-0.3600006, -2.250004,8842022, -3183133, 14.971139325562213062583566240
Nocxium,300,300,0, 0,1550611, 0, 24.901699047780074855706786970
Zydrine,484.99,500,-15.01001, -3.094911,792230, -11891380, 30.173147584281579505566313370
Megacyte,499.99,513.58,-13.59003, -2.71806,480867, -6534996, 19.843013888944230383543121870
Garbage,14,14,0, 0,112485, 0, 26.220498705052190600794801360
Spiced Wine,0,2031.28,-2031.28, -Infinity,52, -105626.6, 0
Antibiotics,305.5,274,31.5, 10.31097,500521, 15766410, 0
Enriched Uranium,12000,13999,-1999, -16.65833,20058, -40095940, 11.414192983735686674932535920
Frozen Plant Seeds,3.93,50,-46.07, -1172.265,79, -3639.53, 0
Carbonized Lead S,3.13,1.44,1.69, 53.99361,173473, 293169.4, 12.255678623989792440066456140
Nuclear S,3.25,3.04,0.21, 6.46154,54319, 11406.99, 43.824894699545356827211707660
Proton S,4.5,4.25,0.25, 5.555555,49582, 12395.5, 20.333248242828218125546019430
Depleted Uranium S,7.69,11.11,-3.42, -44.47334,84990, -290665.8, 50.000475905410042606058025390
Titanium Sabot S,6,9.35,-3.35, -55.83334,96466, -323161.1, 38.880791698484748640382669770
Fusion S,11.84,12.22,-0.3800001, -3.20946,184203, -69997.16, 74.657440872533358649659575490
Phased Plasma S,16.8,19.92,-3.120001, -18.57143,186516, -581930.1, 8.592880320219795836195258280
EMP S,14.99,23.14,-8.15, -54.36958,346367, -2822891, 17.098296714659731916984728720
Carbonized Lead M,7,4.97,2.03, 29,29894, 60684.83, 52.815866504492929898989240230
Nuclear M,11.66,7.44,4.22, 36.19211,23644, 99777.67, 49.779703076999407064955261460
Proton M,20,31.96,-11.96, -59.8,28218, -337487.2, 3.8790734693104079943907877500
Depleted Uranium M,35,48.44,-13.44, -38.4,51365, -690345.5, 21.203100228994187070635899240
Titanium Sabot M,28,37.44,-9.439999, -33.71428,63823, -602489.1, 30.856146035147769429413721390
Fusion M,39,59.5,-20.5, -52.5641,117915, -2417258, 36.031189083820662768031189080
Phased Plasma M,58.45,70.99,-12.54, -21.45423,130192, -1632607, 27.273905431254166744549742360
EMP M,59,79.98,-20.98, -35.55933,165435, -3470827, 23.425179027662638603202268010
Carbonized Lead L,15,14.99,0.01000023, 0.06666819,9493, 94.93217, 7.975965838173580603630431150
Nuclear L,35,46.44,-11.44, -32.68571,5923, -67759.11, 19.365289524169796535977735150
Proton L,28,34.87,-6.869999, -24.53571,14165, -97313.53, 42.049617320841907179616161010
Depleted Uranium L,63.34,21.97,41.37, 65.31418,19145, 792028.7, 14.132031621410655895849595270
Titanium Sabot L,89,92.44,-3.440002, -3.865171,35045, -120554.9, 17.356083301018038326650104190
Fusion L,120,113.44,6.559998, 5.466665,81564, 535059.6, 15.324415424534884596253366510
Phased Plasma L,177,134.44,42.56, 24.0452,90003, 3830528, 22.781181727089048409087175780
EMP L,139,154.44,-15.44, -11.10792,83195, -1284531, 14.729993310800792024071581580
Mjolnir Cruise Missile,124.99,213.96,-88.97001, -71.1817,26050, -2317669, 24.734550985354084990887277590
Scourge Cruise Missile,175,131.2,43.8, 25.02857,144177, 6314953, 22.877425718943181811155385550
Inferno Cruise Missile,125,130,-5, -4,39718, -198590, 32.550025782198639365258903180
Nova Cruise Missile,150,110,40, 26.66667,30636, 1225440, 34.203572276413834155951372820
Nova Heavy Missile,30.98,20,10.98, 35.44222,47815, 525008.7, 22.466803973830869881269687420
Mjolnir Heavy Missile,15,35.44,-20.44, -136.2667,47885, -978769.3, 27.448184396634883947223947440
