ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,AverageVolumeProfitMarginPotential,PotentialDailyProfit
Plagioclase,Metropolis,Jita,48,52,4,7.692307,3620602,11452413,5.797313E+07,4.580965E+07
Spodumain,Metropolis,Jita,1309.97,2500,1190.03,47.6012,88,1015,26228.26,1207881
Kernite,Metropolis,Jita,343.92,210,133.92,38.93929,496491,963558,2.842662E+07,1.290397E+08
Hedbergite,Metropolis,Jita,141,251,110,43.8247,86,5282,117625.5,581020
Arkonor,Metropolis,Jita,1068.7,2741,1672.3,61.01058,35,1712,53262.24,2862978
Tritanium,Metropolis,Jita,2.3,4.52,2.22,49.11504,418535861,13860356467,3.506542E+11,3.076999E+10
Pyerite,Metropolis,Jita,1.88,3.6,1.72,47.77777,87681890,3688258270,9.0203E+10,6.343804E+09
Mexallon,Metropolis,Jita,51.01,57.47,6.460003,11.24065,22822783,1140123226,6.536136E+09,7.365199E+09
Isogen,Metropolis,Jita,14.01,18.8,4.789999,25.47872,30841865,738768394,9.804342E+09,3.5387E+09
Nocxium,Metropolis,Jita,289,304.36,15.35999,5.046651,9533573,43020425,1.326108E+08,6.607931E+08
Zydrine,Metropolis,Jita,578.85,508.97,69.87997,12.07221,969665,27685343,1.729646E+08,1.934651E+09
Megacyte,Metropolis,Jita,532,512.99,19.01001,3.57331,597115,17143375,3.169614E+07,3.258957E+08
Garbage,Metropolis,Jita,14.05,14,0.05000019,0.3558732,148678,4048,27175.55,7433.928
Spiced Wine,Metropolis,Jita,454.44,505.01,50.57001,10.01366,29,501,2653.621,25335.57
Antibiotics,Metropolis,Jita,374.56,375.84,1.279999,0.3405701,226535,6456,39674.71,289964.5
Enriched Uranium,Metropolis,Jita,14003.01,14999.99,996.9805,6.646541,2669,300155,1006366,2.992487E+08
Frozen Plant Seeds,Metropolis,Jita,1.16,2.15,0.9900001,46.04652,60,1042,25371.63,1031.58
Carbonized Lead S,Metropolis,Jita,5,2.07,2.93,58.6,100251,192463,8576521,563916.6
Nuclear S,Metropolis,Jita,4.49,2.57,1.92,42.76169,41374,96233,2942133,184767.3
Proton S,Metropolis,Jita,4.4,28,23.6,84.28571,9900,99014,4589947,2336731
Depleted Uranium S,Metropolis,Jita,8,12.98,4.98,38.36671,90081,126592,4156497,630428.1
Titanium Sabot S,Metropolis,Jita,7.98,15.91,7.93,49.84286,52158,514736,1.412781E+07,4081857
Fusion S,Metropolis,Jita,11.97,14.94,2.969999,19.87951,125057,257174,3799274,763806.6
Phased Plasma S,Metropolis,Jita,14.4,18.18,3.780001,20.79208,60704,542059,6266339,2048983
EMP S,Metropolis,Jita,16.85,21.18,4.33,20.44381,181877,870067,1.075287E+07,3767390
Carbonized Lead M,Metropolis,Jita,10.5,3.12,7.38,70.28571,800,57866,2061691,427051.1
Nuclear M,Metropolis,Jita,16.46,4.08,12.38,75.21264,6600,40700,1778779,503866
Proton M,Metropolis,Jita,25,7.62,17.38,69.52,8507,77583,2992489,1348393
Depleted Uranium M,Metropolis,Jita,30,34.94,4.939999,14.13852,63120,158137,1564116,781196.6
Titanium Sabot M,Metropolis,Jita,32,30,2,6.25,6706,361119,1149450,722238
Fusion M,Metropolis,Jita,40,78,38,48.71795,44948,594087,1.556621E+07,2.257531E+07
Phased Plasma M,Metropolis,Jita,94,61.21,32.79,34.88298,33655,1855128,3.294317E+07,6.082965E+07
EMP M,Metropolis,Jita,55,103.87,48.87,47.0492,54079,223241,6523842,1.090979E+07
Carbonized Lead L,Metropolis,Jita,8,2.65,5.35,66.875,500,35200,1193719,188320
Nuclear L,Metropolis,Jita,10.07,20.09,10.02,49.87556,100,40100,1002499,401802
Proton L,Metropolis,Jita,32,13.12,18.88,59,1200,34600,1056100,653248.1
Depleted Uranium L,Metropolis,Jita,47.5,13.57,33.93,71.43158,20200,44604,2314526,1513414
Titanium Sabot L,Metropolis,Jita,99.99,299.9,199.91,66.65889,4085,86396,3015648,1.727142E+07
Fusion L,Metropolis,Jita,179.98,111.5,68.48,38.04867,31509,163127,3702821,1.117094E+07
Phased Plasma L,Metropolis,Jita,279.99,123.52,156.47,55.88414,54000,272529,9123868,4.264261E+07
EMP L,Metropolis,Jita,174,133.1,40.89999,23.50574,57781,128956,2194684,5274300
Mjolnir Cruise Missile,Metropolis,Jita,1.55,227.71,226.16,99.31931,20138,2483355,1.243225E+08,5.616356E+08
Scourge Cruise Missile,Metropolis,Jita,194.92,137.42,57.5,29.49928,5124,1924856,2.846651E+07,1.106792E+08
Inferno Cruise Missile,Metropolis,Jita,1.4,141.93,140.53,99.0136,5299,690933,3.446822E+07,9.709682E+07
Nova Cruise Missile,Metropolis,Jita,150,98.97,51.03,34.02,3399,310525,5339848,1.584609E+07
Nova Heavy Missile,Metropolis,Jita,17.14,18.49,1.35,7.301246,28818,286921,1152640,387343.5
Mjolnir Heavy Missile,Metropolis,Jita,19.07,30.6,11.53,37.67974,26243,607974,1.194855E+07,7009941
Inferno Heavy Missile,Metropolis,Jita,21.18,43.6,22.42,51.42202,37854,570959,1.565317E+07,1.28009E+07
Scourge Heavy Missile,Metropolis,Jita,70,54.69,15.31,21.87143,3684,2669134,2.922918E+07,4.086444E+07
Scourge Light Missile,Metropolis,Jita,7.07,6.87,0.2000003,2.828858,186007,12148800,1.744671E+07,2429764
Inferno Light Missile,Metropolis,Jita,1.02,7.69,6.67,86.73602,25699,3193953,1.396299E+08,2.130367E+07
Mjolnir Light Missile,Metropolis,Jita,4.1,20.05,15.95,79.55112,33031,8250723,3.294909E+08,1.31599E+08
Nova Light Missile,Metropolis,Jita,3.01,10.79,7.78,72.1038,135339,2198514,8.41398E+07,1.710444E+07
Iron Charge S,Metropolis,Jita,4,4,0,0,48850,764138,0,0
Tungsten Charge S,Metropolis,Jita,4.57,5.99,1.42,23.70617,31100,344505,4452067,489197
Iridium Charge S,Metropolis,Jita,6.99,7.91,0.9200001,11.63085,1000,808160,4705609,743507.3
Lead Charge S,Metropolis,Jita,10,3.98,6.02,60.2,11300,238064,7505857,1433145
Thorium Charge S,Metropolis,Jita,8,16.04,8.040001,50.12469,10148,848483,2.151928E+07,6821804
Uranium Charge S,Metropolis,Jita,10,7.17,2.83,28.3,50700,634899,9701211,1796764
Plutonium Charge S,Metropolis,Jita,1.15,10.68,9.530001,89.23222,400,1208021,5.3915E+07,1.151244E+07
Antimatter Charge S,Metropolis,Jita,15.52,16.97,1.449999,8.544484,33584,10385201,4.451157E+07,1.505853E+07
Iron Charge M,Metropolis,Jita,0.02,19.93,19.91,99.89964,2271,1676481,8.385336E+07,3.337874E+07
Tungsten Charge M,Metropolis,Jita,0.01,43,42.99,99.97675,620,225010,1.127888E+07,9673180
Iridium Charge M,Metropolis,Jita,0.01,48.99,48.98,99.97959,613,524524,2.625144E+07,2.569119E+07
Lead Charge M,Metropolis,Jita,34,19.57,14.43,42.44118,2400,111128,2409131,1603577
Thorium Charge M,Metropolis,Jita,0.01,62.5,62.49,99.984,1200,1375520,6.882498E+07,8.595625E+07
Uranium Charge M,Metropolis,Jita,0.01,49.37,49.36,99.97975,3243,609297,3.06208E+07,3.00749E+07
Plutonium Charge M,Metropolis,Jita,0.01,17,16.99,99.94118,1099,280669,1.408011E+07,4768566
Antimatter Charge M,Metropolis,Jita,48.99,45.34,3.650002,7.450503,17710,7653942,2.857883E+07,2.79369E+07
Iron Charge L,Metropolis,Jita,5,10.08,5.08,50.39682,1000,53909,1383594,273857.7
Tungsten Charge L,Metropolis,Jita,5,38.09,33.09,86.87319,1800,58966,2639468,1951185
Iridium Charge L,Metropolis,Jita,5,11.96,6.96,58.19398,1500,51642,1546272,359428.3
Lead Charge L,Metropolis,Jita,5,19.01,14.01,73.69805,1900,49146,1880995,688535.5
Thorium Charge L,Metropolis,Jita,5,69.91,64.91,92.84795,1700,367322,1.713147E+07,2.384287E+07
Uranium Charge L,Metropolis,Jita,5,50.41,45.41,90.08133,1600,50401,2342115,2288710
Plutonium Charge L,Metropolis,Jita,5,42.16,37.16,88.14042,1600,76617,3446996,2847088
Antimatter Charge L,Metropolis,Jita,139.98,144.88,4.900009,3.382116,8600,2711633,4600070,1.328703E+07
